Instancia,Algoritmo,Run,Tiempo_s
r209,QLEARNING,6,12.5938
r209,QLEARNING,7,13.1094
r209,QLEARNING,8,12.8125
r209,QLEARNING,9,13.625
r209,QLEARNING,10,12.4219
r210,CLASSIC,1,12.8125
r210,CLASSIC,2,12.9375
r210,CLASSIC,3,12.9062
r210,CLASSIC,4,13.1094
r210,CLASSIC,5,13.625
r210,CLASSIC,6,12.9531
r210,CLASSIC,7,13.2344
r210,CLASSIC,8,14.0156
r210,CLASSIC,9,13.4688
r210,CLASSIC,10,14.2031
r210,QLEARNING,1,13.7188
r210,QLEARNING,2,14.5781
r210,QLEARNING,3,14.1875
r210,QLEARNING,4,13.9531
r210,QLEARNING,5,14.0469
r210,QLEARNING,6,15.0
r210,QLEARNING,7,15.4688
r210,QLEARNING,8,14.5312
r210,QLEARNING,9,13.75
r210,QLEARNING,10,12.0312
r211,CLASSIC,1,9.5625
r211,CLASSIC,2,9.53125
r211,CLASSIC,3,8.3125
r211,CLASSIC,4,9.5625
r211,CLASSIC,5,10.0625
r211,CLASSIC,6,10.7188
r211,CLASSIC,7,10.375
r211,CLASSIC,8,9.625
r211,CLASSIC,9,8.10938
r211,CLASSIC,10,9.03125
r211,QLEARNING,1,9.57812
r211,QLEARNING,2,9.64062
r211,QLEARNING,3,8.5
r211,QLEARNING,4,11.1719
r211,QLEARNING,5,10.625
r211,QLEARNING,6,11.5625
r211,QLEARNING,7,9.45312
r211,QLEARNING,8,9.60938
r211,QLEARNING,9,9.95312
r211,QLEARNING,10,8.875
rc101,CLASSIC,1,7.17188
rc101,CLASSIC,2,6.84375
rc101,CLASSIC,3,7.5
rc101,CLASSIC,4,7.5625
rc101,CLASSIC,5,6.76562
rc101,CLASSIC,6,6.92188
rc101,CLASSIC,7,7.21875
rc101,CLASSIC,8,7.35938
rc101,CLASSIC,9,7.17188
rc101,CLASSIC,10,6.21875
rc101,QLEARNING,1,7.39062
rc101,QLEARNING,2,7.76562
rc101,QLEARNING,3,7.625
rc101,QLEARNING,4,9.03125
rc101,QLEARNING,5,8.875
rc101,QLEARNING,6,8.53125
rc101,QLEARNING,7,8.67188
rc101,QLEARNING,8,8.96875
rc101,QLEARNING,9,7.95312
rc101,QLEARNING,10,8.5625
rc102,CLASSIC,1,12.2031
rc102,CLASSIC,2,11.5781
