iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
118,0,19,1692.34,19,1692.34,1,2,0,356.766,0.169124,0.136573,0.243224,0.451078,0.175418,0.445733,0.214598,0.164251
119,0,19,1692.34,19,1692.34,2,3,0,356.588,0.171664,0.1235,0.246894,0.457941,0.181032,0.460085,0.189378,0.169505
120,0,19,1692.34,19,1692.34,0,1,9,356.409,0.178663,0.128527,0.216104,0.476706,0.184831,0.469828,0.193354,0.151986
121,0,19,1692.34,19,1698,3,1,9,356.231,0.185722,0.1274,0.21423,0.472648,0.188749,0.458595,0.197454,0.155202
122,0,19,1692.34,19,1698,1,0,0,356.053,0.190147,0.130426,0.219341,0.460086,0.192575,0.447624,0.201459,0.158342
123,0,19,1692.34,19,1698,3,2,9,355.875,0.192707,0.118633,0.2223,0.466361,0.171199,0.459512,0.206776,0.162513
124,0,19,1692.34,19,1698,2,3,0,355.697,0.197148,0.121355,0.22743,0.454066,0.169885,0.456074,0.212777,0.161264
125,0,19,1692.34,19,1698,3,2,9,355.519,0.204161,0.12566,0.199882,0.470297,0.173128,0.464872,0.216849,0.14515
126,0,19,1692.34,19,1698,3,1,9,355.342,0.208817,0.128513,0.204439,0.458231,0.171874,0.461596,0.222436,0.144094
127,0,19,1692.34,19,1698,3,1,0,355.164,0.213363,0.131298,0.208889,0.44645,0.175311,0.450822,0.226897,0.14697
128,0,19,1692.34,19,1698,2,3,0,354.986,0.235036,0.144621,0.230107,0.390237,0.192995,0.395419,0.249797,0.161789
129,0,19,1692.34,19,1698,2,2,9,354.809,0.243999,0.150121,0.200721,0.405159,0.196966,0.403612,0.254949,0.144473
130,0,19,1692.34,19,1698,3,1,9,354.631,0.242608,0.149251,0.20525,0.402891,0.196565,0.402848,0.256418,0.14417
131,0,19,1692.34,19,1696.89,2,1,13,354.454,0.24671,0.15176,0.208713,0.392817,0.199568,0.39372,0.260349,0.146363
132,0,19,1692.34,19,1696.89,3,2,9,354.277,0.241188,0.148348,0.226405,0.384059,0.19603,0.404463,0.255747,0.14376
133,0,19,1692.34,19,1696.89,3,3,0,354.1,0.244996,0.150676,0.229977,0.374351,0.195642,0.403721,0.25717,0.143467
134,0,19,1692.34,19,1696.89,3,0,0,353.923,0.265018,0.162974,0.248768,0.32324,0.19885,0.4104,0.261401,0.129349
135,0,19,1692.34,19,1696.89,3,1,9,353.746,0.283167,0.174118,0.265801,0.276914,0.175894,0.422187,0.268885,0.133034
136,0,19,1692.34,19,1731.12,2,1,9,353.569,0.285498,0.175534,0.267985,0.270983,0.178721,0.412886,0.273229,0.135164
137,0,19,1692.34,19,1700.11,3,1,13,353.392,0.287463,0.176725,0.262967,0.272845,0.181473,0.403828,0.27746,0.137238
138,0,19,1692.34,19,1700.11,3,1,0,353.215,0.283073,0.174009,0.258946,0.283971,0.178121,0.414825,0.272358,0.134696
139,0,19,1692.34,19,1761.81,1,0,9,353.039,0.299697,0.18421,0.274148,0.241944,0.194202,0.361978,0.296972,0.146848
140,0,19,1692.34,19,1792.42,1,0,9,352.862,0.298787,0.186703,0.273311,0.241199,0.198757,0.359949,0.295296,0.145998
141,0,19,1692.34,19,1792.42,1,3,0,352.686,0.297961,0.188967,0.27255,0.240522,0.202925,0.358094,0.293762,0.145219
142,0,19,1692.34,19,1792.42,3,0,0,352.509,0.307129,0.164028,0.280931,0.247912,0.206525,0.364487,0.298995,0.129993
143,0,19,1692.34,19,1792.42,2,1,0,352.333,0.321313,0.171581,0.2939,0.213205,0.181259,0.376111,0.308518,0.134112
144,0,19,1692.34,19,1746.13,2,1,13,352.157,0.340139,0.181612,0.252571,0.225679,0.1957,0.326377,0.333135,0.144788
145,0,19,1692.34,19,1746.13,3,2,0,351.981,0.333151,0.177858,0.267967,0.221024,0.192144,0.338593,0.327115,0.142148
146,0,19,1692.34,19,1746.13,0,0,0,351.805,0.34552,0.184438,0.277904,0.192137,0.204939,0.361181,0.282276,0.151605
147,0,19,1692.34,19,1743.68,3,1,13,351.629,0.29813,0.197786,0.29804,0.206044,0.18026,0.372411,0.291038,0.156291
148,0,19,1692.34,19,1743.68,2,3,0,351.453,0.292364,0.193945,0.292276,0.221415,0.176714,0.384733,0.28534,0.153213
149,0,19,1692.34,19,1743.68,0,1,9,351.278,0.309757,0.205467,0.250201,0.234574,0.179927,0.391789,0.290556,0.137728
150,0,19,1692.34,19,1743.68,0,2,0,351.102,0.303855,0.207219,0.252345,0.236581,0.182103,0.384412,0.294099,0.139386
151,0,19,1692.34,19,1743.68,1,0,0,350.926,0.260815,0.220025,0.267951,0.251209,0.191818,0.404981,0.256386,0.146815
152,0,19,1692.34,19,1824.9,1,1,9,350.751,0.271109,0.189241,0.278528,0.261122,0.170837,0.415522,0.263035,0.150606
153,0,19,1692.34,19,1824.9,0,0,0,350.575,0.270334,0.191557,0.277734,0.260374,0.172986,0.40815,0.266367,0.152497
154,0,19,1692.34,19,1824.9,0,2,0,350.4,0.231582,0.201721,0.292492,0.274206,0.155189,0.41696,0.272094,0.155757
155,0,19,1692.34,19,1824.9,1,1,0,350.225,0.200159,0.209959,0.30446,0.285422,0.162181,0.435829,0.239216,0.162774
156,0,19,1692.34,19,1824.9,2,1,0,350.05,0.207021,0.182825,0.314925,0.295229,0.177144,0.383757,0.261307,0.177793
157,0,19,1692.34,19,1824.9,3,1,0,349.875,0.220104,0.194374,0.271613,0.313908,0.191107,0.335161,0.281925,0.191807
158,0,19,1692.34,19,1824.9,1,3,0,349.7,0.23389,0.206543,0.288638,0.270929,0.203886,0.290679,0.300802,0.204633
159,0,19,1692.34,19,1824.9,3,3,0,349.525,0.241766,0.179803,0.29837,0.28006,0.210437,0.30004,0.310491,0.179031
160,0,19,1692.34,19,1846.09,1,1,9,349.35,0.254628,0.189357,0.314256,0.241759,0.215769,0.307664,0.318382,0.158185
161,0,19,1692.34,19,1846.09,2,0,0,349.176,0.253106,0.194191,0.312391,0.240312,0.216726,0.304577,0.31982,0.158877
162,0,19,1692.34,19,1837.18,1,0,13,349.001,0.268687,0.206135,0.270075,0.255103,0.190015,0.314971,0.330737,0.164277
163,0,19,1692.34,19,1837.18,3,0,0,348.827,0.263319,0.221997,0.26468,0.250004,0.209173,0.307528,0.322925,0.160374
164,0,19,1692.34,19,1837.18,3,2,0,348.652,0.275561,0.23231,0.276985,0.215143,0.183838,0.317387,0.33328,0.165494
165,0,19,1692.34,19,1837.18,2,3,0,348.478,0.285482,0.240666,0.286958,0.186894,0.195876,0.338207,0.289591,0.176327
166,0,19,1692.34,19,1794.74,0,1,13,348.304,0.301258,0.253956,0.24758,0.197206,0.200419,0.346089,0.296331,0.157161
167,0,19,1692.34,19,1794.74,2,2,0,348.129,0.315666,0.248724,0.242477,0.193133,0.195809,0.361116,0.289537,0.153538
168,0,19,1692.34,19,1731.15,2,1,13,347.955,0.328559,0.25887,0.211569,0.201001,0.20573,0.37946,0.2535,0.16131
169,0,19,1692.34,19,1731.15,3,2,0,347.781,0.320672,0.252644,0.230527,0.196157,0.200656,0.394761,0.247259,0.157324
